@RELATION train_model_GT_smoothing_75.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-8206 , -1627, Y
-12320 , -2056, N
-8092 , -1455, Y
-8140 , -1440, Y
-8000 , -1349, Y
-8536 , -1403, Y
-8252 , -1489, N
-11211 , -1797, Y
-9730 , -1680, N
-8366 , -1452, N
-8204 , -1641, Y
-5746 , -903, N
-9973 , -1585, Y
-11412 , -2027, N
-8868 , -1333, Y
-8050 , -1465, Y
-11164 , -1787, N
-10781 , -1647, Y
-8136 , -1700, N
-10133 , -1676, N
-7064 , -1132, N
-11026 , -1751, Y
-5757 , -962, N
-9578 , -1621, N
-6565 , -1073, N
-8855 , -1450, N
-8850 , -1320, Y
-7958 , -1537, Y
-10838 , -1699, N
-8819 , -1337, Y
-8043 , -1400, Y
-14874 , -2476, N
-7992 , -1522, Y
-7863 , -1412, Y
-5523 , -968, N
-8013 , -1405, Y
-8948 , -1477, N
-8172 , -1405, N
-8511 , -1384, Y
-9952 , -1585, Y
-5512 , -972, N
-8400 , -1504, N
-9494 , -1726, N
-5746 , -1031, N
-10711 , -1720, Y
-9343 , -1545, N
-11357 , -1742, N
-8334 , -1531, Y
-8814 , -1331, Y
-8055 , -1415, Y
-5915 , -899, N
-6538 , -1056, N
-8144 , -1486, Y
-8814 , -1331, Y
-11237 , -1772, N
-7060 , -1086, N
-8533 , -1380, Y
-8321 , -1521, Y
-8043 , -1400, Y
-8043 , -1432, Y
-8001 , -1432, Y
-8326 , -1229, Y
-8871 , -1375, N
-8126 , -1465, Y
-8174 , -1579, Y
-8252 , -1572, N
-6724 , -1180, N
-9812 , -1555, Y
-12238 , -1970, Y
-9170 , -1567, N
-9980 , -1575, Y
-6243 , -1039, N
-6319 , -1068, N
-9226 , -1523, N
-10893 , -1736, N
-9141 , -1538, N
-7912 , -1401, N
-8032 , -1363, Y
-9961 , -1565, Y
-11071 , -1615, Y
-6962 , -1143, N
-6767 , -1205, N
-7935 , -1362, Y
-8214 , -1472, N
-25842 , -4261, N
-11071 , -1615, Y
-6869 , -1109, N
-8373 , -1443, Y
-7997 , -1362, N
-8017 , -1553, Y
-8315 , -1476, N
-12255 , -2013, Y
-12301 , -2028, Y
-11175 , -1649, Y
-11096 , -1725, Y
-8067 , -1520, N
-11181 , -1817, N
-8387 , -1347, N
-8037 , -1428, Y
-9988 , -1633, N
