@RELATION train_model_lap_smoothing_100

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-11508 , -2793, Y
-17781 , -3915, N
-11949 , -2700, Y
-11978 , -2691, Y
-11439 , -2447, Y
-12221 , -2411, Y
-11826 , -2694, N
-15743 , -3245, Y
-14048 , -2893, N
-11968 , -2713, N
-11465 , -2790, Y
-8287 , -1754, N
-14349 , -2752, Y
-16711 , -3772, N
-12357 , -2306, Y
-11569 , -2615, Y
-16062 , -3334, N
-15219 , -2835, Y
-11518 , -3301, N
-14525 , -2852, N
-10128 , -2113, N
-15700 , -3198, Y
-8339 , -1931, N
-13639 , -3237, N
-9425 , -1945, N
-12882 , -2413, N
-12342 , -2322, Y
-11533 , -2631, Y
-15670 , -3276, N
-12338 , -2304, Y
-11386 , -2438, Y
-21421 , -4711, N
-11565 , -2630, Y
-10945 , -2361, Y
-7864 , -1736, N
-11371 , -2439, Y
-13005 , -2485, N
-11580 , -2935, N
-12246 , -2418, Y
-14390 , -2757, Y
-7793 , -1663, N
-12257 , -2970, N
-13598 , -3097, N
-8239 , -1862, N
-15503 , -3124, Y
-13375 , -2672, N
-16315 , -3319, N
-12198 , -2851, Y
-12289 , -2303, Y
-11376 , -2453, Y
-8448 , -1510, N
-9224 , -1893, N
-11587 , -2772, Y
-12289 , -2303, Y
-16087 , -3411, N
-10053 , -2122, N
-12276 , -2421, Y
-12203 , -2848, Y
-11386 , -2438, Y
-11344 , -2423, Y
-11401 , -2462, Y
-11744 , -2163, Y
-12564 , -2423, N
-12012 , -2712, Y
-11589 , -2821, Y
-11801 , -2938, N
-9621 , -2219, N
-14185 , -2762, Y
-17557 , -3777, Y
-12841 , -2536, N
-14335 , -2741, Y
-8869 , -1855, N
-8822 , -1770, N
-13054 , -2648, N
-15757 , -3034, N
-13317 , -2780, N
-11208 , -2535, N
-11423 , -2461, Y
-14362 , -2740, Y
-15926 , -2981, Y
-9908 , -2017, N
-9804 , -2234, N
-11498 , -2489, Y
-11973 , -2768, N
-36379 , -8125, N
-15926 , -2981, Y
-9683 , -1974, N
-12068 , -2665, Y
-11557 , -2528, N
-11470 , -3157, Y
-11735 , -2768, N
-17468 , -3775, Y
-17486 , -3774, Y
-15771 , -3122, Y
-15703 , -3165, Y
-11526 , -2700, N
-15970 , -3028, N
-11823 , -2310, N
-11542 , -2625, Y
-14358 , -2806, N
