@RELATION train_model_lap_smoothing_25.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-2984 , -731, Y
-4508 , -997, N
-3022 , -685, Y
-3027 , -686, Y
-2895 , -616, Y
-3040 , -554, Y
-2923 , -756, N
-3933 , -803, Y
-3681 , -690, N
-2962 , -690, N
-2972 , -729, Y
-2136 , -442, N
-3564 , -694, Y
-4188 , -937, N
-3125 , -561, Y
-2757 , -709, Y
-4020 , -839, N
-3810 , -722, Y
-2901 , -813, N
-3619 , -722, N
-2533 , -518, N
-3904 , -806, Y
-2171 , -500, N
-3369 , -845, N
-2365 , -496, N
-3232 , -632, N
-3121 , -565, Y
-2742 , -716, Y
-3904 , -813, N
-3117 , -562, Y
-2868 , -614, Y
-5388 , -1163, N
-2739 , -707, Y
-2715 , -588, Y
-1974 , -454, N
-2864 , -618, Y
-3270 , -640, N
-2911 , -723, N
-3044 , -557, Y
-3578 , -692, Y
-1946 , -431, N
-3100 , -745, N
-3339 , -815, N
-2145 , -480, N
-3838 , -802, Y
-3329 , -618, N
-4061 , -874, N
-3121 , -725, Y
-3106 , -561, Y
-2864 , -621, Y
-2176 , -369, N
-2316 , -477, N
-2912 , -674, Y
-3106 , -561, Y
-3989 , -840, N
-2518 , -521, N
-3044 , -556, Y
-3126 , -729, Y
-2868 , -614, Y
-2869 , -616, Y
-2873 , -627, Y
-2965 , -500, Y
-3165 , -606, N
-3038 , -690, Y
-2996 , -736, Y
-3073 , -776, N
-2430 , -578, N
-3514 , -747, Y
-4444 , -961, Y
-3211 , -624, N
-3561 , -687, Y
-2287 , -492, N
-2275 , -474, N
-3279 , -663, N
-3936 , -776, N
-3340 , -659, N
-2782 , -642, N
-2889 , -620, Y
-3559 , -688, Y
-4016 , -773, Y
-2481 , -514, N
-2470 , -571, N
-2896 , -627, Y
-3046 , -702, N
-9168 , -2055, N
-4016 , -773, Y
-2431 , -497, N
-2984 , -671, Y
-2899 , -635, N
-2911 , -798, Y
-2953 , -716, N
-4414 , -960, Y
-4416 , -957, Y
-3908 , -826, Y
-3911 , -798, Y
-2754 , -740, N
-4025 , -781, N
-2985 , -525, N
-2749 , -710, Y
-3543 , -732, N
