@RELATION train_model_no_smoothing_25.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-2767 , -524, Y
-4064 , -624, N
-2666 , -457, Y
-2664 , -463, Y
-2659 , -457, Y
-2873 , -449, Y
-2741 , -456, N
-3708 , -573, Y
-3213 , -505, N
-2751 , -461, N
-2756 , -532, Y
-1920 , -287, N
-3317 , -487, Y
-3850 , -647, N
-2923 , -412, Y
-2561 , -495, Y
-3681 , -609, N
-3574 , -523, Y
-2692 , -527, N
-3384 , -511, N
-2367 , -373, N
-3656 , -584, Y
-1903 , -301, N
-3114 , -496, N
-2214 , -337, N
-2923 , -480, N
-2903 , -424, Y
-2561 , -533, Y
-3593 , -540, N
-2894 , -413, Y
-2700 , -468, Y
-4889 , -786, N
-2557 , -525, Y
-2589 , -465, Y
-1829 , -319, N
-2691 , -479, Y
-2961 , -495, N
-2659 , -471, N
-2877 , -434, Y
-3331 , -498, Y
-1830 , -331, N
-2732 , -467, N
-3122 , -540, N
-1959 , -333, N
-3569 , -532, Y
-3073 , -489, N
-3717 , -575, N
-2730 , -459, Y
-2898 , -404, Y
-2698 , -476, Y
-1985 , -286, N
-2182 , -329, N
-2683 , -488, Y
-2898 , -404, Y
-3714 , -571, N
-2351 , -372, N
-2892 , -443, Y
-2724 , -459, Y
-2700 , -468, Y
-2676 , -482, Y
-2665 , -472, Y
-2757 , -374, Y
-2934 , -445, N
-2635 , -444, Y
-2733 , -517, Y
-2756 , -461, N
-2281 , -350, N
-3223 , -488, Y
-4080 , -616, Y
-2990 , -504, N
-3332 , -495, Y
-2092 , -322, N
-2144 , -342, N
-3022 , -489, N
-3608 , -530, N
-3081 , -499, N
-2601 , -429, N
-2681 , -459, Y
-3313 , -485, Y
-3749 , -541, Y
-2244 , -377, N
-2307 , -366, N
-2669 , -456, Y
-2651 , -445, N
-8490 , -1363, N
-3749 , -541, Y
-2268 , -356, N
-2800 , -462, Y
-2623 , -425, N
-2677 , -507, Y
-2763 , -471, N
-4057 , -655, Y
-4072 , -638, Y
-3671 , -545, Y
-3644 , -584, Y
-2584 , -518, N
-3777 , -607, N
-2791 , -398, N
-2576 , -494, Y
-3242 , -532, N
